Date,Rain,T_max,T_min,Himachal_Pradesh,HP_Tourism,HP_Weather,HP_Travel,Party & Holiday Supplies,Geographic Reference,Travel,Hotels & Accommodations,Air Travel,Bus & Rail,Car & Taxi,Tourist Destinations,Travel Agencies,Tourist Arrivals
2014-05-01,0.07582096354855024,0.8877566028109473,0.35182449134499205,1.24020518959817,0.20560386067690506,-0.5441141026695338,0.11956450352275637,0,0.027236828420957548,-0.16706732357018753,2,2,0.3632830376890261,1,0.30280200546031655,1,1792791.1875
2014-06-01,-0.2933628291424302,1.3987581997222283,1.046613883118351,1.329116958705392,0.648006650547211,-0.4904254246072648,-0.20202278181431285,1,0.7189255873903913,2.409453833846846,1,1,0.7541254782372196,2,2.3565895207563754,2,1507250.875
2014-07-01,1.2588748253190136,1.0223757466609242,1.4830141125861802,-0.18238311611737795,-0.01559753425824791,-0.5978027807318028,-0.523610067151382,0,-0.4668265708429237,-0.6625521615350016,1,1,-0.027559402859167394,0,-0.0394959137556933,1,1230788.1875
2014-08-01,0.8707238639760085,0.6111586512035309,1.2943029266327037,-0.2712948852245997,-0.1261982317258244,-0.7051801368563408,-0.20202278181431285,0,-0.4668265708429237,-0.464358226349076,1,1,-0.027559402859167394,0,0.1316530458523116,1,1340252.375
2014-09-01,-0.1848055970565471,0.32221758613695933,0.9543534182965283,-0.6269419616534867,-0.1261982317258244,-0.7051801368563408,-0.8451973524884513,0,-0.4668265708429237,-0.6625521615350016,1,0,-0.41840184340736086,0,-0.21064487336369822,1,1480249.5625
2014-10-01,-0.814951730945369,0.07061938973090508,-0.018758783656272093,-1.3382361145112607,-0.23679892919340087,-0.7588688149186098,0.11956450352275637,0,-0.6644519305484762,-1.1580369994998156,1,1,0.3632830376890261,1,-0.552942792579708,0,1724082.25
2014-11-01,-1.0715755334656412,-0.761352661584137,-0.650424957162243,-1.0715008071895955,-0.1261982317258244,-0.8125574929808788,-0.523610067151382,0,-0.8620772902540287,-1.058940031906853,0,0,-0.8092442839555544,0,-0.552942792579708,0,1028015.0
2014-12-01,-0.31835377491862676,-1.1481640554291113,-1.2060230134436682,-0.8047654998679302,-0.23679892919340087,-0.4904254246072648,-0.20202278181431285,0,-0.6644519305484762,-0.8607460967209273,1,1,-0.6138230636814577,1,-0.38179383297170316,0,1016320.0
2015-01-01,-0.07356085313213477,-1.646145977849385,-1.3403057629726567,-0.9825890380823737,-0.23679892919340087,-0.5441141026695338,-0.523610067151382,0,-0.8620772902540287,-1.058940031906853,1,1,-0.8092442839555544,0,-0.7240917521877129,1,967427.5625
2015-02-01,1.1876373886976301,-1.1725532555529488,-1.1552460860891762,-0.893677268975152,-0.23679892919340087,-0.5441141026695338,0.11956450352275637,0,-0.7632646104012525,-1.1580369994998156,1,0,-0.6138230636814577,0,-0.552942792579708,0,1005415.125
2015-03-01,0.8751156207097862,-0.2474468026824677,-0.9070033301338811,-0.2712948852245997,-0.01559753425824791,-0.3830480684827268,-0.523610067151382,0,-0.4668265708429237,-0.5634551939420388,1,1,-0.41840184340736086,1,-0.0394959137556933,0,1377108.75
2015-04-01,0.24018619724508103,0.400599656900307,-0.016813307512421834,0.08435219120428732,0.09500316320932857,-0.4904254246072648,-0.523610067151382,0,-0.17038853128459494,0.13022357920870095,2,1,0.16786181741492937,1,0.8162488842843313,1,1783065.3125
2015-05-01,-0.46881135659266937,0.8795883659629783,0.2768637990023301,1.329116958705392,0.20560386067690506,-0.4904254246072648,0.11956450352275637,0,0.5213002276848387,0.5266114495805522,2,1,0.7541254782372196,0,0.8162488842843313,1,1775288.59375
2015-06-01,0.19160951579590751,1.0252635071627316,0.9512556216674745,0.5289110367403961,0.20560386067690506,-0.3830480684827268,-0.523610067151382,0,0.620112907537615,1.0220962875453663,3,0,0.5587042579631228,1,1.500844722716351,0,1738737.9375
2015-07-01,2.2829600177118037,0.7231212512307544,1.3266576914250447,-0.0045595779029344325,-0.34739962666097735,-0.5978027807318028,-0.8451973524884513,0,-0.5656392506957,-0.8607460967209273,1,1,-0.6138230636814577,0,-0.552942792579708,0,1349056.59375
2015-08-01,0.6824814623939305,0.4789817276636547,1.3902298657256291,-0.8047654998679302,-0.45800032412855385,-0.7051801368563408,-0.523610067151382,0,-0.7632646104012525,-1.2571339670927786,1,1,-0.8092442839555544,0,-0.8952407117957178,0,1452770.1875
2015-09-01,-0.17032521738152942,0.4368864302915913,0.7059011495257419,-0.6269419616534867,-0.34739962666097735,-0.7051801368563408,-0.8451973524884513,0,-0.5656392506957,-0.6625521615350016,1,1,-0.22298062313326414,0,-0.21064487336369822,1,1635031.28125
2015-10-01,-0.9499190569730087,0.1178631515404765,-0.07624012110649443,-1.0715008071895955,-0.34739962666097735,-0.7588688149186098,-0.523610067151382,0,-0.5656392506957,-0.7616491291279645,1,1,-0.22298062313326414,1,-0.38179383297170316,0,1823770.125
2015-11-01,-0.7600294298416199,-0.7396862070762896,-0.42784752110466523,-0.9825890380823737,-0.34739962666097735,-0.7051801368563408,-0.523610067151382,0,-0.8620772902540287,-0.9598430643138901,1,1,-0.22298062313326414,1,-0.552942792579708,1,1065741.5
2015-12-01,-0.6319348356443352,-1.2369090610218025,-1.275865607007893,-0.7158537307607085,-0.34739962666097735,-0.5441141026695338,-0.20202278181431285,0,-0.5656392506957,-0.16706732357018753,1,1,0.16786181741492937,0,0.1316530458523116,1,1013364.0
2016-01-01,-0.7311155530649109,-1.6996438038314419,-1.342610403943064,-1.0715008071895955,-0.45800032412855385,-0.5978027807318028,-0.523610067151382,0,-0.7632646104012525,-1.058940031906853,1,1,-1.004665504229651,0,-0.7240917521877129,0,1077560.78125
2016-02-01,-0.33031643369635194,-0.9488755778272279,-1.035868676862302,-0.8047654998679302,-0.34739962666097735,-0.6514914587940718,-0.523610067151382,0,-0.5656392506957,-1.2571339670927786,1,1,-0.6138230636814577,0,-0.7240917521877129,0,1075960.5625
2016-03-01,0.7726290483214013,-0.19167177127612825,-0.3410942502900494,-0.3602066543318215,-0.34739962666097735,-0.5441141026695338,-0.523610067151382,0,-0.4668265708429237,-0.464358226349076,2,1,-0.027559402859167394,1,-0.0394959137556933,1,1458954.875
2016-04-01,-0.25536006862325517,0.6649039995143148,0.20339962677032247,0.6178228058476178,-0.1261982317258244,-0.5978027807318028,0.11956450352275637,0,0.027236828420957548,-0.16706732357018753,1,1,0.3632830376890261,0,0.1316530458523116,1,1878518.15625
2016-05-01,-0.36370569558088045,1.2198490605188146,0.7536850366589259,2.2182346497776093,-0.1261982317258244,-0.4904254246072648,-0.20202278181431285,0,0.5213002276848387,1.0220962875453663,3,2,0.3632830376890261,0,1.3296957631083461,1,1803054.296875
2016-06-01,-0.05529058759712588,1.0308245088147843,1.2535077884162742,1.1512934204909484,-0.23679892919340087,-0.43673674654499584,0.4411517888598256,0,0.7189255873903913,1.220290222731292,3,1,0.5587042579631228,0,1.500844722716351,2,1936201.46875
2016-07-01,0.5482870652778904,0.7731207616334793,1.3156283382095244,-0.0045595779029344325,-0.34739962666097735,-0.6514914587940718,-0.20202278181431285,0,-0.4668265708429237,-0.5634551939420388,1,1,-0.41840184340736086,0,-0.0394959137556933,1,1449817.296875
2016-08-01,2.291217686100156,0.6442441358099547,1.408367689466756,0.08435219120428732,-0.45800032412855385,-0.7051801368563408,-0.20202278181431285,0,-0.5656392506957,-0.8607460967209273,1,1,-0.6138230636814577,1,-0.552942792579708,0,1533855.09375
2016-09-01,-0.8275922863914643,0.3807318646478712,0.9705756962960183,-0.7158537307607085,-0.5686010215961304,-0.8125574929808788,-0.20202278181431285,0,-0.8620772902540287,-1.058940031906853,1,1,-0.41840184340736086,0,-0.7240917521877129,1,1830371.140625
2016-10-01,-0.9355881946940053,0.34038572506547465,0.044484156219968235,-1.5160596527257042,-0.5686010215961304,-0.8125574929808788,-0.523610067151382,0,-0.8620772902540287,-1.2571339670927786,1,1,-0.41840184340736086,1,-0.7240917521877129,1,1905999.5625
2016-11-01,-1.1311518802944813,-0.5761234522539109,-0.48342827801435684,-1.3382361145112607,-0.45800032412855385,-0.7588688149186098,-0.523610067151382,0,-0.8620772902540287,-1.1580369994998156,0,1,-0.22298062313326414,0,-0.7240917521877129,0,1095895.25
2016-12-01,-1.1298391682413385,-1.196199888690607,-0.8717902119301912,-1.249324345404039,-0.45800032412855385,-0.6514914587940718,-0.20202278181431285,0,-0.6644519305484762,-0.6625521615350016,2,1,-0.41840184340736086,0,-0.38179383297170316,0,1012470.5
2017-01-01,0.5668373591562821,-1.5843314016221217,-1.4970662445636693,-0.9825890380823737,-0.45800032412855385,-0.3293593904204578,-0.523610067151382,0,-0.7632646104012525,-0.6625521615350016,1,1,-0.41840184340736086,0,-0.7240917521877129,0,1063237.390625
2017-02-01,-0.4385378851894909,-1.126431594966937,-1.0277276074603439,-0.9825890380823737,-0.45800032412855385,-0.5441141026695338,-0.523610067151382,0,-0.7632646104012525,-0.9598430643138901,1,1,-0.8092442839555544,0,-0.552942792579708,1,1036915.28125
2017-03-01,-0.05011829937229025,0.257779273225197,-1.0770978059108214,-0.44911842343904324,-0.45800032412855385,-0.43673674654499584,0.11956450352275637,0,-0.4668265708429237,-0.464358226349076,1,1,-0.22298062313326414,0,-0.21064487336369822,1,1409832.4375
2017-04-01,0.18544002256545056,0.9263865875808421,-0.08605729303238517,0.26217572941873085,-0.34739962666097735,-0.43673674654499584,0.11956450352275637,0,-0.17038853128459494,0.13022357920870095,2,1,-0.22298062313326414,0,0.30280200546031655,1,1827269.578125
2017-05-01,0.04163216372431772,0.9840427886855015,0.37751974164492214,0.6178228058476178,-0.23679892919340087,-0.3293593904204578,0.11956450352275637,0,0.1260495082737338,1.1211932551383292,3,1,0.9495466985113163,0,1.158546803500341,1,1753812.6484375
2017-06-01,0.8142557050490601,1.5760831960217923,0.9152643130062443,0.7067345749548396,-0.23679892919340087,-0.0072273220468438305,0.11956450352275637,0,0.9165509470959438,1.6166780931031433,4,1,0.5587042579631228,0,2.6988874399723852,1,1872735.734375
2017-07-01,2.377656480348525,0.7346062872836577,1.5373078622007095,0.26217572941873085,-0.45800032412855385,-0.3830480684827268,-0.523610067151382,0,-0.2692012111373712,-0.2661642911631503,2,1,-0.6138230636814577,0,-0.0394959137556933,0,1350237.1484375
2017-08-01,0.6175148867291148,0.5954657355622798,1.3646244066323379,0.08435219120428732,-0.5686010215961304,-0.4904254246072648,-0.8451973524884513,0,-0.4668265708429237,-0.5634551939420388,2,0,0.16786181741492937,0,-0.552942792579708,0,1389639.546875
2017-09-01,0.14909842565792655,0.44739787851817087,1.0537073884428512,0.08435219120428732,-0.5686010215961304,-0.4904254246072648,-0.8451973524884513,0,-0.6644519305484762,-0.2661642911631503,1,1,0.16786181741492937,0,-0.21064487336369822,2,1616577.0703125
2017-10-01,-1.1311518802944813,0.34376853022473464,0.022215936973435924,0.3510874985259526,-0.5686010215961304,-0.6514914587940718,-0.523610067151382,0,-0.5656392506957,-0.2661642911631503,1,1,0.16786181741492937,0,-0.21064487336369822,1,1764640.78125
2017-11-01,-1.0117052202310781,-0.5321304836949458,-0.7476538687514371,-0.2712948852245997,-0.5686010215961304,-0.43673674654499584,0.11956450352275637,0,-0.4668265708429237,-0.0679703559772247,1,1,-0.22298062313326414,0,-0.21064487336369822,1,1032753.625
2017-12-01,-0.7136727015942866,-1.155787743153883,-1.044204293878645,2.75170526442094,-0.5686010215961304,0.10015003407769417,-0.20202278181431285,0,-0.0715758514318187,0.625708417173515,2,1,0.3632830376890261,0,0.30280200546031655,1,958645.75
2018-01-01,-1.010050392102309,-1.441230492641122,-1.3131738533664985,-0.6269419616534867,-0.5686010215961304,0.20752739020223215,-0.20202278181431285,0,-0.4668265708429237,0.13022357920870095,1,1,-0.027559402859167394,0,-0.0394959137556933,1,1069670.1953125
2018-02-01,-0.45944624579654963,-0.8726056976023455,-1.0837722856043384,-0.8047654998679302,-0.5686010215961304,0.20752739020223215,-0.523610067151382,0,-0.7632646104012525,-0.36526125875611315,1,1,-0.6138230636814577,1,-0.38179383297170316,1,1027023.640625
2018-03-01,-0.2981815974224522,0.16918278102974185,-0.32740109127756484,-0.7158537307607085,-0.45800032412855385,-0.11460467817138183,-0.523610067151382,0,-0.2692012111373712,-0.0679703559772247,1,1,-0.22298062313326414,0,-0.0394959137556933,0,1405645.21875
